Epsilon,Robust Cost,Nominal Cost,Rho (Expected),Rho (True)
0.05,0.6625470779539753,0.6502743063255951,0.3361496563665227,1.1670402243606712
0.1,0.7078847322772999,0.6502743063255951,0.0685919230520625,0.2480305700074265
0.15000000000000002,0.6520048960859539,0.6502743063255951,0.035983540058673255,0.03078470180772322
0.2,0.6520952422541726,0.6502743063255951,0.04621901825103231,0.002001667875872997
0.25,0.6506349462975598,0.6502743063255951,0.024361533103758055,0.009233473299036631
0.3,0.6507774038461084,0.6502743063255951,0.014559736052364002,0.017252274962374643
0.35000000000000003,0.651024895547631,0.6502743063255951,0.012261220125238859,0.0001874638337025225
0.4,0.6508071398662667,0.6502743063255951,0.006385029277637076,0.0029503868858724996
0.45,0.6506849403432733,0.6502743063255951,0.005027752812214842,0.0016866030886691797
0.5,0.6509910665700749,0.6502743063255951,0.007319042871079625,0.0020652440405766297
0.55,0.6504828965852582,0.6502743063255951,0.0011634176008589584,0.000623360220429726
0.6000000000000001,0.6504467144064289,0.6502743063255951,0.006546437765645463,0.03451934768187075
0.6500000000000001,0.6504550373091652,0.6502743063255951,0.0035835442982136228,0.00019482559032286094
0.7000000000000001,0.6504816778097535,0.6502743063255951,0.004503249375902661,0.0010467667807736065
0.7500000000000001,0.6503083476565569,0.6502743063255951,0.001972763470819536,0.0015281447963602125
0.8,0.6502782692945367,0.6502743063255951,0.004805190756440906,0.0044081074619266285
0.8500000000000001,0.6506315394813317,0.6502743063255951,0.003906876044489638,0.003897455453784709
0.9000000000000001,0.6502872097914347,0.6502743063255951,0.0034801132370120926,0.0019055154709205421
0.9500000000000001,0.6504214437084599,0.6502743063255951,0.0016982811739131576,0.0011588335457791386
1.0,0.6505234605572378,0.6502743063255951,0.001643463878913531,0.002136964319758291
