Epsilon,Robust Cost,Nominal Cost,Rho (Expected),Rho (True)
0.05,0.2183268370759673,0.14175908537156465,0.23314884059781038,0.005121252161374146
0.1,0.20376078128611075,0.14175908537156465,0.08363400807035486,0.026540640442295378
0.15000000000000002,0.2184001816094934,0.14175908537156465,0.03716795683333732,0.08105120026802196
0.2,0.15182630945544484,0.14175908537156465,0.026530796759936897,0.006410763507749877
0.25,0.15250075322955914,0.14175908537156465,0.029785237327478453,0.007333820695722035
0.3,0.16382536134360232,0.14175908537156465,0.022002754052053097,0.04849188623276836
0.35000000000000003,0.17783777444398824,0.14175908537156465,0.016504496813356903,0.035888996450527136
0.4,0.14254682346051167,0.14175908537156465,0.006404306364077931,0.00398521659232071
0.45,0.1474791479937146,0.14175908537156465,0.0073632608994843975,0.0010099254237273718
0.5,0.16016500037109999,0.14175908537156465,0.021203478314435968,0.0047485884780784065
0.55,0.14663193161372728,0.14175908537156465,0.010431489489906185,0.00534478783845683
0.6000000000000001,0.16199263017026744,0.14175908537156465,0.018938774744302334,0.00902737636258133
0.6500000000000001,0.14773287358530202,0.14175908537156465,0.010131234028642789,0.0032662491775055907
0.7000000000000001,0.16527278946540197,0.14175908537156465,0.00956128148827896,0.020528063584714623
0.7500000000000001,0.1445493266863998,0.14175908537156465,0.008143651530563985,0.004423821054819121
0.8,0.1498169608924216,0.14175908537156465,0.0154116703361814,0.0364496613394696
0.8500000000000001,0.14756051358889383,0.14175908537156465,0.009389792224984239,0.010305048491051686
0.9000000000000001,0.14428344493774592,0.14175908537156465,0.007273540916123998,0.011945814316360555
0.9500000000000001,0.14687813337221814,0.14175908537156465,0.0036629476685929524,0.0068147662012579165
1.0,0.14352368056339998,0.14175908537156465,0.005774528196919402,0.001642281173498716
