Epsilon,Robust Cost,Nominal Cost,Rho (Expected),Rho (True)
0.05,0.7520810696422364,0.7355280697164721,0.41980317595668437,0.13186204275242083
0.1,0.7673433769213457,0.7355280697164721,0.23307983448827888,0.029226349250129176
0.15000000000000002,0.743438925576226,0.7355280697164721,0.093791327496296,0.0021862645877927904
0.2,0.7421244297200861,0.7355280697164721,0.06310981532075832,0.00614690704012804
0.25,0.7359261431207914,0.7355280697164721,0.012261482884902041,0.0011010891515228285
0.3,0.7367425616659397,0.7355280697164721,0.009659444384743384,0.006358922254372665
0.35000000000000003,0.7358999297475356,0.7355280697164721,0.02015166561898818,0.000854460444748019
0.4,0.7357242856777801,0.7355280697164721,0.006632463374137443,0.00027897657734378585
0.45,0.7356975376305513,0.7355280697164721,0.003993984296104314,0.0017804239087025051
0.5,0.736631851605295,0.7355280697164721,0.002750570584471922,0.00908190521443505
0.55,0.7355293839615558,0.7355280697164721,0.0021792378476846305,4.023834066326729e-05
0.6000000000000001,0.7494954374228064,0.7355280697164721,0.0029344667456939035,0.059920959862594686
0.6500000000000001,0.7356640349752344,0.7355280697164721,0.002328429814824776,0.0038858176957493953
0.7000000000000001,0.7355295778041604,0.7355280697164721,0.0016718963740545041,0.0037149868222145915
0.7500000000000001,0.7356501177967898,0.7355280697164721,0.002721347884897689,0.0021726270049161993
0.8,0.7355850586970902,0.7355280697164721,0.001520918927141997,0.00022551466616876556
0.8500000000000001,0.7355448577108874,0.7355280697164721,0.00209385208915922,8.1440581241488e-05
0.9000000000000001,0.7355420103832945,0.7355280697164721,0.0027912479522759553,0.00109430620958319
0.9500000000000001,0.7358028382447203,0.7355280697164721,0.0017773553940854093,0.0016484172260085826
1.0,0.7355605723212985,0.7355280697164721,0.0006694413959311568,0.0017289599292520542
