Epsilon,Robust Cost,Nominal Cost,Rho (Expected),Rho (True)
0.05,0.8746182577076651,0.8746182577076651,0.6214340703207162,0.20509679671259404
0.1,0.8746182577076651,0.8746182577076651,0.07888994479611675,0.03732100814690331
0.15000000000000002,0.8928112827075294,0.8746182577076651,0.03269048384539833,0.0981560272240557
0.2,0.8746182577076651,0.8746182577076651,0.023275984215795045,0.029648016274522848
0.25,0.8746182577076651,0.8746182577076651,0.020467439934635213,0.0039340152636049945
0.3,0.8809804864755317,0.8746182577076651,0.025338268799099402,0.03216569856218801
0.35000000000000003,0.8746182577076651,0.8746182577076651,0.011808017419185383,0.015485284826870505
0.4,0.8746182577076651,0.8746182577076651,0.011150874226641013,0.00018710549206837727
0.45,0.8746182577076651,0.8746182577076651,0.01223928798879208,0.004236178723886461
0.5,0.8782707337132452,0.8746182577076651,0.006773317175108708,0.019579297145765045
0.55,0.8746182577076651,0.8746182577076651,0.003332157220254988,0.0010973885793509608
0.6000000000000001,0.8746182577076651,0.8746182577076651,0.006722963742855652,0.01142127421151565
0.6500000000000001,0.8746182577076651,0.8746182577076651,0.00427163359557275,3.056781787743289e-05
0.7000000000000001,0.8746182577076651,0.8746182577076651,0.01233152064129642,0.009514562313472974
0.7500000000000001,0.8746182577076651,0.8746182577076651,0.005326212195898751,0.00026580599263820344
0.8,0.8746182577076651,0.8746182577076651,0.0031517203010461015,0.006058717475118413
0.8500000000000001,0.8747260048422618,0.8746182577076651,0.008858119226040916,0.01680639483049289
0.9000000000000001,0.8746182577076651,0.8746182577076651,0.004781563386394341,0.00011953253662546205
0.9500000000000001,0.8746182577076651,0.8746182577076651,0.0017806895601847664,0.0029808071626937424
1.0,0.8746182577076651,0.8746182577076651,0.007205583186646566,0.00025668616894519193
