Epsilon,Robust Cost,Nominal Cost,Rho,KL Distance
0.05,0.05004167215726314,0.03966177069694624,0.6028306319032034,0.33879441803498267
0.1,0.04081038514446973,0.03966177069694624,0.2471035265298517,0.105172920210102
0.15000000000000002,0.0395738862177662,0.03966177069694624,0.18083547402309227,0.044063459248187505
0.2,0.039123876615925465,0.03966177069694624,0.19258587774605643,0.07228542302127362
0.25,0.03878160882387166,0.03966177069694624,0.15015838026916106,0.05198810162120109
0.3,0.038381374643956266,0.03966177069694624,0.13566695412008617,0.05813556669151337
0.35000000000000003,0.03615014300832374,0.03966177069694624,0.08295016083710276,0.02931729036553888
0.4,0.03694391356467298,0.03966177069694624,0.08393473027476006,0.02411724899022985
0.45,0.034889685033333916,0.03966177069694624,0.019639151593637008,0.003970664102765105
0.5,0.034975172234092716,0.03966177069694624,0.021714772112573208,0.007890939462981143
0.55,0.036560298736858884,0.03966177069694624,0.07075399260971171,0.0073627890553551
0.6000000000000001,0.03449973941547326,0.03966177069694624,0.02073551491060941,0.003717958913688906
0.6500000000000001,0.03455982332525591,0.03966177069694624,0.028567256505097227,0.003633640967518714
0.7000000000000001,0.035134381450702905,0.03966177069694624,0.02608127028830455,0.003144461008998378
0.7500000000000001,0.0349204738442775,0.03966177069694624,0.020210440615417893,0.006026212599327438
0.8,0.035741372863202114,0.03966177069694624,0.044227749798001086,0.009766007869084633
0.8500000000000001,0.034357002723272544,0.03966177069694624,0.008297091048468618,0.0007652588269780574
0.9000000000000001,0.03424194383985987,0.03966177069694624,0.013394572843690923,0.002999360560239599
0.9500000000000001,0.035303670327404314,0.03966177069694624,0.03597578175498474,0.003483474280564932
1.0,0.03459614502278527,0.03966177069694624,0.011876211864029148,0.0021716196488402494
