Epsilon,Robust Cost,Nominal Cost,Rho,KL Distance
0.05,0.7552742785984762,0.5183818724173097,1.5256389883612376,0.4516979954072661
0.1,0.5164066877083935,0.5183818724173097,0.24402848688403556,0.0452976764273719
0.15000000000000002,0.5143785493963711,0.5183818724173097,0.11635607608151947,0.054046466467817855
0.2,0.5138068192439584,0.5183818724173097,0.13662088284945864,0.06542777669736616
0.25,0.5135397403171562,0.5183818724173097,0.05914086644769541,0.03432178780777848
0.3,0.5130677478185763,0.5183818724173097,0.06630270596948273,0.030517323690372165
0.35000000000000003,0.5132155064511205,0.5183818724173097,0.09823413023730242,0.025946161409709182
0.4,0.5132925490882736,0.5183818724173097,0.024811947718156212,0.004123637952068816
0.45,0.5134819688981599,0.5183818724173097,0.04217453809655797,0.00977198616618931
0.5,0.5130708297796248,0.5183818724173097,0.035892601299846505,0.01325633268081801
0.55,0.5133859535438273,0.5183818724173097,0.033657133318583596,0.01155986545915745
0.6000000000000001,0.5134184790708316,0.5183818724173097,0.04242169937980189,0.00889364468619556
0.6500000000000001,0.51359602056038,0.5183818724173097,0.05086162032132541,0.006283626463277446
0.7000000000000001,0.5132864396364454,0.5183818724173097,0.024939561580978417,0.005439567791574567
0.7500000000000001,0.5130740420314726,0.5183818724173097,0.01582344258854551,0.0010924939404951227
0.8,0.5130657796878766,0.5183818724173097,0.018656829444059882,0.0056785440242439564
0.8500000000000001,0.5131205946411987,0.5183818724173097,0.008733328693515108,0.0012045459765750934
0.9000000000000001,0.5130910791020495,0.5183818724173097,0.012935138281261634,0.0014661160507127265
0.9500000000000001,0.5131555129098795,0.5183818724173097,0.012331002391671985,0.0016187167871796297
1.0,0.5130946371507683,0.5183818724173097,0.010302126902364036,0.001337076288391398
