Epsilon,Robust Cost,Nominal Cost,Ideal Cost,Rho Multiplier,Rho (Expected),Rho (True),Workload (Perturbed),Workload (True)
0.05,0.5155640265225778,0.513054441881966,0.5130504584566404,0.25,0.5928030527478967,0.0008330522584962829,"Workload(z0=0.4696239732334817, z1=0.509398960352419, q=0.010488533207049627, w=0.010488533207049627)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.05,0.5502719075418999,0.513054441881966,0.5130504584566404,1,0.5928030527478967,0.0008330522584962829,"Workload(z0=0.4696239732334817, z1=0.509398960352419, q=0.010488533207049627, w=0.010488533207049627)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.05,0.6588886933435312,0.513054441881966,0.5130504584566404,1.75,0.5928030527478967,0.0008330522584962829,"Workload(z0=0.4696239732334817, z1=0.509398960352419, q=0.010488533207049627, w=0.010488533207049627)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.1,0.5291383991187707,0.5223623817278094,0.5130504585365084,0.25,0.1380510058548671,0.18438264044910546,"Workload(z0=0.4553305320162133, z1=0.34071736575128597, q=0.19398714355043348, w=0.009964958682067326)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.1,0.5452131538568759,0.5223623817278094,0.5130504585365084,1,0.1380510058548671,0.18438264044910546,"Workload(z0=0.4553305320162133, z1=0.34071736575128597, q=0.19398714355043348, w=0.009964958682067326)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.1,0.5648760174375068,0.5223623817278094,0.5130504585365084,1.75,0.1380510058548671,0.18438264044910546,"Workload(z0=0.4553305320162133, z1=0.34071736575128597, q=0.19398714355043348, w=0.009964958682067326)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.15000000000000002,0.5237233854235259,0.5248824067539347,0.5130504583988261,0.25,0.12994252818024732,0.3237718970067814,"Workload(z0=0.3395493220610774, z1=0.33712088467147955, q=0.016414383094251143, w=0.3069154101731919)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.15000000000000002,0.5263865893088685,0.5248824067539347,0.5130504583988261,1,0.12994252818024732,0.3237718970067814,"Workload(z0=0.3395493220610774, z1=0.33712088467147955, q=0.016414383094251143, w=0.3069154101731919)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.15000000000000002,0.5319643729782598,0.5248824067539347,0.5130504583988261,1.75,0.12994252818024732,0.3237718970067814,"Workload(z0=0.3395493220610774, z1=0.33712088467147955, q=0.016414383094251143, w=0.3069154101731919)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.2,0.527675103861012,0.5219871083389173,0.5130504584410156,0.25,0.10218729410280959,0.21053364054388368,"Workload(z0=0.3924245783580577, z1=0.3593343266272295, q=0.1378183722766567, w=0.11042272273805617)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.2,0.5365620674697793,0.5219871083389173,0.5130504584410156,1,0.10218729410280959,0.21053364054388368,"Workload(z0=0.3924245783580577, z1=0.3593343266272295, q=0.1378183722766567, w=0.11042272273805617)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.2,0.5250391409367559,0.5219871083389173,0.5130504584410156,1.75,0.10218729410280959,0.21053364054388368,"Workload(z0=0.3924245783580577, z1=0.3593343266272295, q=0.1378183722766567, w=0.11042272273805617)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.25,0.5135372697268381,0.5131701364944731,0.5130504583472986,0.25,0.0886864417608365,0.08013136958192303,"Workload(z0=0.6642737844856978, z1=0.30074395831300715, q=0.023426938784523833, w=0.011555318416771187)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.25,0.5146378082203426,0.5131701364944731,0.5130504583472986,1,0.0886864417608365,0.08013136958192303,"Workload(z0=0.6642737844856978, z1=0.30074395831300715, q=0.023426938784523833, w=0.011555318416771187)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
