Epsilon,Robust Cost,Nominal Cost,Ideal Cost,Rho Multiplier,Rho (Expected),Rho (True),Workload (Perturbed),Workload (True)
0.05,0.8894803468369037,0.8830305554762004,0.8718317513237199,0.25,2.37010973886015,0.1712619472117409,"Workload(z0=0.5761073730729304, z1=0.272924455332325, q=0.1338156257780732, w=0.01715254581667153)","Workload(z0=0.33, z1=0.33, q=0.33, w=0.01)"
0.05,0.9123329277802691,0.8830305554762004,0.8718317513237199,1,2.37010973886015,0.1712619472117409,"Workload(z0=0.5761073730729304, z1=0.272924455332325, q=0.1338156257780732, w=0.01715254581667153)","Workload(z0=0.33, z1=0.33, q=0.33, w=0.01)"
0.05,1.0609718906107728,0.8830305554762004,0.8718317513237199,1.75,2.37010973886015,0.1712619472117409,"Workload(z0=0.5761073730729304, z1=0.272924455332325, q=0.1338156257780732, w=0.01715254581667153)","Workload(z0=0.33, z1=0.33, q=0.33, w=0.01)"
0.1,0.8801733872297222,0.8719174661544763,0.8718317513389444,0.25,0.25092375131645406,0.018893835346024974,"Workload(z0=0.3538294385066844, z1=0.2453384610072646, q=0.3899940925269013, w=0.010838007959149541)","Workload(z0=0.33, z1=0.33, q=0.33, w=0.01)"
0.1,0.9267494396508017,0.8719174661544763,0.8718317513389444,1,0.25092375131645406,0.018893835346024974,"Workload(z0=0.3538294385066844, z1=0.2453384610072646, q=0.3899940925269013, w=0.010838007959149541)","Workload(z0=0.33, z1=0.33, q=0.33, w=0.01)"
0.1,1.0187103023397088,0.8719174661544763,0.8718317513389444,1.75,0.25092375131645406,0.018893835346024974,"Workload(z0=0.3538294385066844, z1=0.2453384610072646, q=0.3899940925269013, w=0.010838007959149541)","Workload(z0=0.33, z1=0.33, q=0.33, w=0.01)"
0.15000000000000002,0.8732354985415268,0.8735527734910954,0.8718317513913346,0.25,0.31157365316432906,0.047776792006140295,"Workload(z0=0.387645589113507, z1=0.34356425045911015, q=0.22293640108483911, w=0.045853759342543626)","Workload(z0=0.33, z1=0.33, q=0.33, w=0.01)"
0.15000000000000002,0.899653707682845,0.8735527734910954,0.8718317513913346,1,0.31157365316432906,0.047776792006140295,"Workload(z0=0.387645589113507, z1=0.34356425045911015, q=0.22293640108483911, w=0.045853759342543626)","Workload(z0=0.33, z1=0.33, q=0.33, w=0.01)"
0.15000000000000002,0.9542704860422916,0.8735527734910954,0.8718317513913346,1.75,0.31157365316432906,0.047776792006140295,"Workload(z0=0.387645589113507, z1=0.34356425045911015, q=0.22293640108483911, w=0.045853759342543626)","Workload(z0=0.33, z1=0.33, q=0.33, w=0.01)"
0.2,0.8720588383202854,0.8723631095186907,0.8718317514846984,0.25,0.07637736294106874,0.012627058807671019,"Workload(z0=0.4052705133452036, z1=0.28056890271114127, q=0.30462092727843676, w=0.009539656665218436)","Workload(z0=0.33, z1=0.33, q=0.33, w=0.01)"
