Epsilon,Robust Cost,Nominal Cost,Ideal Cost,Rho Multiplier,Rho (Expected),Rho (True),Workload (Perturbed),Workload (True)
0.05,0.1055212790758994,0.053046312522303726,0.034065658285759186,0.25,0.9608991017922451,0.28080639548171477,"Workload(z0=0.7045272269624163, z1=0.013108839086823204, q=0.27717365811990846, w=0.0051902758308519075)","Workload(z0=0.97, z1=0.01, q=0.01, w=0.01)"
0.05,0.539762765480117,0.053046312522303726,0.034065658285759186,1,0.9608991017922451,0.28080639548171477,"Workload(z0=0.7045272269624163, z1=0.013108839086823204, q=0.27717365811990846, w=0.0051902758308519075)","Workload(z0=0.97, z1=0.01, q=0.01, w=0.01)"
0.05,0.5325369380060653,0.053046312522303726,0.034065658285759186,1.75,0.9608991017922451,0.28080639548171477,"Workload(z0=0.7045272269624163, z1=0.013108839086823204, q=0.27717365811990846, w=0.0051902758308519075)","Workload(z0=0.97, z1=0.01, q=0.01, w=0.01)"
0.1,0.05169319061668263,0.04124169061669632,0.034065658227051154,0.25,0.24848134264256638,0.10490833028359321,"Workload(z0=0.8522886343233471, z1=0.0076930296830370285, q=0.13232530631057898, w=0.0076930296830370285)","Workload(z0=0.97, z1=0.01, q=0.01, w=0.01)"
0.1,0.06854848411197749,0.04124169061669632,0.034065658227051154,1,0.24848134264256638,0.10490833028359321,"Workload(z0=0.8522886343233471, z1=0.0076930296830370285, q=0.13232530631057898, w=0.0076930296830370285)","Workload(z0=0.97, z1=0.01, q=0.01, w=0.01)"
0.1,0.08551686642550524,0.04124169061669632,0.034065658227051154,1.75,0.24848134264256638,0.10490833028359321,"Workload(z0=0.8522886343233471, z1=0.0076930296830370285, q=0.13232530631057898, w=0.0076930296830370285)","Workload(z0=0.97, z1=0.01, q=0.01, w=0.01)"
0.15000000000000002,0.041249680996861125,0.0356037277531248,0.03406565822061139,0.25,0.24607103260760738,0.020749393927763638,"Workload(z0=0.9336635123559949, z1=0.010633834502964732, q=0.04506881863807558, w=0.010633834502964732)","Workload(z0=0.97, z1=0.01, q=0.01, w=0.01)"
0.15000000000000002,0.050346263229707505,0.0356037277531248,0.03406565822061139,1,0.24607103260760738,0.020749393927763638,"Workload(z0=0.9336635123559949, z1=0.010633834502964732, q=0.04506881863807558, w=0.010633834502964732)","Workload(z0=0.97, z1=0.01, q=0.01, w=0.01)"
0.15000000000000002,0.0586599297886835,0.0356037277531248,0.03406565822061139,1.75,0.24607103260760738,0.020749393927763638,"Workload(z0=0.9336635123559949, z1=0.010633834502964732, q=0.04506881863807558, w=0.010633834502964732)","Workload(z0=0.97, z1=0.01, q=0.01, w=0.01)"
0.2,0.03470851887779961,0.03406565971388699,0.03406565821440889,0.25,0.05903771318711146,5.411610804637127e-08,"Workload(z0=0.9700560870092806, z1=0.00998130433023978, q=0.00998130433023978, w=0.00998130433023978)","Workload(z0=0.97, z1=0.01, q=0.01, w=0.01)"
0.2,0.036203571552119444,0.03406565971388699,0.03406565821440889,1,0.05903771318711146,5.411610804637127e-08,"Workload(z0=0.9700560870092806, z1=0.00998130433023978, q=0.00998130433023978, w=0.00998130433023978)","Workload(z0=0.97, z1=0.01, q=0.01, w=0.01)"
0.2,0.037506333232359114,0.03406565971388699,0.03406565821440889,1.75,0.05903771318711146,5.411610804637127e-08,"Workload(z0=0.9700560870092806, z1=0.00998130433023978, q=0.00998130433023978, w=0.00998130433023978)","Workload(z0=0.97, z1=0.01, q=0.01, w=0.01)"
0.25,0.03824103807789305,0.035493553851723515,0.0340656582415572,0.25,0.19285163757268386,0.0756217913568054,"Workload(z0=0.860373922081676, z1=0.07654042920788, q=0.01640380105310784, w=0.04668184765733609)","Workload(z0=0.97, z1=0.01, q=0.01, w=0.01)"
