Epsilon,Robust Cost,Nominal Cost,Rho,Rho (True),Workload (Perturbed),Workload (True)
0.05,0.1443372321927196,0.14165072519926059,0.0,0.04061893213427222,"Workload(z0=np.float64(0.030212473783636343), z1=np.float64(0.05604930354868622), q=np.float64(0.007218718668460173), w=np.float64(0.9065195039992173))","Workload(z0=0.01, z1=0.01, q=0.01, w=0.97)"
0.05,0.16441815111986885,0.14165072399826392,0.1,0.04061893213427222,"Workload(z0=np.float64(0.030212473783636343), z1=np.float64(0.05604930354868622), q=np.float64(0.007218718668460173), w=np.float64(0.9065195039992173))","Workload(z0=0.01, z1=0.01, q=0.01, w=0.97)"
0.05,0.18234473238494395,0.14165072390409028,0.2,0.04061893213427222,"Workload(z0=np.float64(0.030212473783636343), z1=np.float64(0.05604930354868622), q=np.float64(0.007218718668460173), w=np.float64(0.9065195039992173))","Workload(z0=0.01, z1=0.01, q=0.01, w=0.97)"
0.05,0.19472646714357664,0.1416507241784001,0.30000000000000004,0.04061893213427222,"Workload(z0=np.float64(0.030212473783636343), z1=np.float64(0.05604930354868622), q=np.float64(0.007218718668460173), w=np.float64(0.9065195039992173))","Workload(z0=0.01, z1=0.01, q=0.01, w=0.97)"
0.05,0.21235482540446737,0.14165072446750918,0.4,0.04061893213427222,"Workload(z0=np.float64(0.030212473783636343), z1=np.float64(0.05604930354868622), q=np.float64(0.007218718668460173), w=np.float64(0.9065195039992173))","Workload(z0=0.01, z1=0.01, q=0.01, w=0.97)"
0.05,0.22746412128474922,0.1416507240364279,0.5,0.04061893213427222,"Workload(z0=np.float64(0.030212473783636343), z1=np.float64(0.05604930354868622), q=np.float64(0.007218718668460173), w=np.float64(0.9065195039992173))","Workload(z0=0.01, z1=0.01, q=0.01, w=0.97)"
0.05,0.24194550039572096,0.1416507241327957,0.6000000000000001,0.04061893213427222,"Workload(z0=np.float64(0.030212473783636343), z1=np.float64(0.05604930354868622), q=np.float64(0.007218718668460173), w=np.float64(0.9065195039992173))","Workload(z0=0.01, z1=0.01, q=0.01, w=0.97)"
0.05,0.2569714207717327,0.1416507245054235,0.7000000000000001,0.04061893213427222,"Workload(z0=np.float64(0.030212473783636343), z1=np.float64(0.05604930354868622), q=np.float64(0.007218718668460173), w=np.float64(0.9065195039992173))","Workload(z0=0.01, z1=0.01, q=0.01, w=0.97)"
0.05,0.272222009792437,0.1416507241005847,0.8,0.04061893213427222,"Workload(z0=np.float64(0.030212473783636343), z1=np.float64(0.05604930354868622), q=np.float64(0.007218718668460173), w=np.float64(0.9065195039992173))","Workload(z0=0.01, z1=0.01, q=0.01, w=0.97)"
0.05,0.2883053020061166,0.14165072432591802,0.9,0.04061893213427222,"Workload(z0=np.float64(0.030212473783636343), z1=np.float64(0.05604930354868622), q=np.float64(0.007218718668460173), w=np.float64(0.9065195039992173))","Workload(z0=0.01, z1=0.01, q=0.01, w=0.97)"
0.05,0.30449356496805735,0.14165072432323045,1.0,0.04061893213427222,"Workload(z0=np.float64(0.030212473783636343), z1=np.float64(0.05604930354868622), q=np.float64(0.007218718668460173), w=np.float64(0.9065195039992173))","Workload(z0=0.01, z1=0.01, q=0.01, w=0.97)"
0.05,0.3093450144427753,0.14165072395040348,1.1,0.04061893213427222,"Workload(z0=np.float64(0.030212473783636343), z1=np.float64(0.05604930354868622), q=np.float64(0.007218718668460173), w=np.float64(0.9065195039992173))","Workload(z0=0.01, z1=0.01, q=0.01, w=0.97)"
0.05,0.30920142532908634,0.1416507239479617,1.2000000000000002,0.04061893213427222,"Workload(z0=np.float64(0.030212473783636343), z1=np.float64(0.05604930354868622), q=np.float64(0.007218718668460173), w=np.float64(0.9065195039992173))","Workload(z0=0.01, z1=0.01, q=0.01, w=0.97)"
0.05,0.3090637560663951,0.14165072441027077,1.3,0.04061893213427222,"Workload(z0=np.float64(0.030212473783636343), z1=np.float64(0.05604930354868622), q=np.float64(0.007218718668460173), w=np.float64(0.9065195039992173))","Workload(z0=0.01, z1=0.01, q=0.01, w=0.97)"
0.05,0.30894485069161115,0.14165072439407272,1.4000000000000001,0.04061893213427222,"Workload(z0=np.float64(0.030212473783636343), z1=np.float64(0.05604930354868622), q=np.float64(0.007218718668460173), w=np.float64(0.9065195039992173))","Workload(z0=0.01, z1=0.01, q=0.01, w=0.97)"
0.05,0.15598463710745342,0.14165072408126153,1.5,0.04061893213427222,"Workload(z0=np.float64(0.030212473783636343), z1=np.float64(0.05604930354868622), q=np.float64(0.007218718668460173), w=np.float64(0.9065195039992173))","Workload(z0=0.01, z1=0.01, q=0.01, w=0.97)"
0.05,0.30870729003927916,0.14165072413835417,1.6,0.04061893213427222,"Workload(z0=np.float64(0.030212473783636343), z1=np.float64(0.05604930354868622), q=np.float64(0.007218718668460173), w=np.float64(0.9065195039992173))","Workload(z0=0.01, z1=0.01, q=0.01, w=0.97)"
0.05,0.3085926326996284,0.14165072413543445,1.7000000000000002,0.04061893213427222,"Workload(z0=np.float64(0.030212473783636343), z1=np.float64(0.05604930354868622), q=np.float64(0.007218718668460173), w=np.float64(0.9065195039992173))","Workload(z0=0.01, z1=0.01, q=0.01, w=0.97)"
