Epsilon,Robust Cost,Nominal Cost,Rho,Rho (True),Workload (Perturbed),Workload (True)
0.05,0.10805038845096819,0.10783897493967388,0.0,0.001033256429105605,"Workload(z0=0.5035325466866518, z1=0.01240052793530262, q=0.01240052793530262, w=0.47166639744274297)","Workload(z0=0.49, z1=0.01, q=0.01, w=0.49)"
0.05,0.13594641664768817,0.10783897498764597,0.1,0.001033256429105605,"Workload(z0=0.5035325466866518, z1=0.01240052793530262, q=0.01240052793530262, w=0.47166639744274297)","Workload(z0=0.49, z1=0.01, q=0.01, w=0.49)"
0.05,0.15527592682843427,0.10783897476858863,0.2,0.001033256429105605,"Workload(z0=0.5035325466866518, z1=0.01240052793530262, q=0.01240052793530262, w=0.47166639744274297)","Workload(z0=0.49, z1=0.01, q=0.01, w=0.49)"
0.05,0.16988521596756667,0.1078389745747249,0.30000000000000004,0.001033256429105605,"Workload(z0=0.5035325466866518, z1=0.01240052793530262, q=0.01240052793530262, w=0.47166639744274297)","Workload(z0=0.49, z1=0.01, q=0.01, w=0.49)"
0.05,0.18296937078397948,0.10783897483666471,0.4,0.001033256429105605,"Workload(z0=0.5035325466866518, z1=0.01240052793530262, q=0.01240052793530262, w=0.47166639744274297)","Workload(z0=0.49, z1=0.01, q=0.01, w=0.49)"
0.05,0.19558635103773173,0.10783897449653393,0.5,0.001033256429105605,"Workload(z0=0.5035325466866518, z1=0.01240052793530262, q=0.01240052793530262, w=0.47166639744274297)","Workload(z0=0.49, z1=0.01, q=0.01, w=0.49)"
0.05,0.20803701981105238,0.10783897539831705,0.6000000000000001,0.001033256429105605,"Workload(z0=0.5035325466866518, z1=0.01240052793530262, q=0.01240052793530262, w=0.47166639744274297)","Workload(z0=0.49, z1=0.01, q=0.01, w=0.49)"
0.05,0.21140932655370798,0.10783897465884046,0.7000000000000001,0.001033256429105605,"Workload(z0=0.5035325466866518, z1=0.01240052793530262, q=0.01240052793530262, w=0.47166639744274297)","Workload(z0=0.49, z1=0.01, q=0.01, w=0.49)"
0.05,0.21433794549221968,0.10783897459906716,0.8,0.001033256429105605,"Workload(z0=0.5035325466866518, z1=0.01240052793530262, q=0.01240052793530262, w=0.47166639744274297)","Workload(z0=0.49, z1=0.01, q=0.01, w=0.49)"
0.05,0.21738906751224354,0.10783897481302468,0.9,0.001033256429105605,"Workload(z0=0.5035325466866518, z1=0.01240052793530262, q=0.01240052793530262, w=0.47166639744274297)","Workload(z0=0.49, z1=0.01, q=0.01, w=0.49)"
0.05,0.22052916932344824,0.10783897451478613,1.0,0.001033256429105605,"Workload(z0=0.5035325466866518, z1=0.01240052793530262, q=0.01240052793530262, w=0.47166639744274297)","Workload(z0=0.49, z1=0.01, q=0.01, w=0.49)"
0.05,0.22404063416813907,0.10783897453735064,1.1,0.001033256429105605,"Workload(z0=0.5035325466866518, z1=0.01240052793530262, q=0.01240052793530262, w=0.47166639744274297)","Workload(z0=0.49, z1=0.01, q=0.01, w=0.49)"
0.05,0.2272395466426152,0.10783897466388107,1.2000000000000002,0.001033256429105605,"Workload(z0=0.5035325466866518, z1=0.01240052793530262, q=0.01240052793530262, w=0.47166639744274297)","Workload(z0=0.49, z1=0.01, q=0.01, w=0.49)"
0.05,0.11566588163985539,0.1078389746026797,1.3,0.001033256429105605,"Workload(z0=0.5035325466866518, z1=0.01240052793530262, q=0.01240052793530262, w=0.47166639744274297)","Workload(z0=0.49, z1=0.01, q=0.01, w=0.49)"
0.05,0.2348226152906764,0.10783897469963956,1.4000000000000001,0.001033256429105605,"Workload(z0=0.5035325466866518, z1=0.01240052793530262, q=0.01240052793530262, w=0.47166639744274297)","Workload(z0=0.49, z1=0.01, q=0.01, w=0.49)"
0.05,0.15460193617585447,0.10783897483367487,1.5,0.001033256429105605,"Workload(z0=0.5035325466866518, z1=0.01240052793530262, q=0.01240052793530262, w=0.47166639744274297)","Workload(z0=0.49, z1=0.01, q=0.01, w=0.49)"
