Epsilon,Robust Cost,Nominal Cost,Rho (Expected),Rho (True)
0.05,0.6663399144233862,0.6502743063255951,1.3205127143602278,0.420309142703554
0.1,0.8246818669278984,0.6502743063255951,0.7612596623327507,0.044830026642559556
0.15000000000000002,0.668429232119915,0.6502743063255951,0.12725184300353767,0.025365091153484495
0.2,0.6503186705562994,0.6502743063255951,0.012122440401983153,0.05673123610630834
0.25,0.6609106965662805,0.6502743063255951,0.05336598725667663,0.014825721268032502
0.3,0.6546236189823671,0.6502743063255951,0.06062945325881712,0.005668556038842212
0.35000000000000003,0.6576070693055813,0.6502743063255951,0.12115452916158484,0.002536099454949387
0.4,0.6510287602218658,0.6502743063255951,0.04049793086297193,0.021792120957122116
0.45,0.6505199858654903,0.6502743063255951,0.008377973150323542,0.0013811013001770872
0.5,0.6527330873432664,0.6502743063255951,0.07611518100736475,0.0045206808827161545
0.55,0.6506148173073024,0.6502743063255951,0.017698040576314793,0.018706805448927357
0.6000000000000001,0.6502912144688902,0.6502743063255951,0.02660920855822792,8.804423119405762e-05
0.6500000000000001,0.6502826029194015,0.6502743063255951,0.010738647633598494,0.0009136146583189064
0.7000000000000001,0.6502987736258227,0.6502743063255951,0.0025917897439334744,0.00030238395394055007
0.7500000000000001,0.6517726753239247,0.6502743063255951,0.018650640593795,0.011037414889349024
0.8,0.6505460308958849,0.6502743063255951,0.0043377333474922935,0.02137353298228577
0.8500000000000001,0.6507014937620305,0.6502743063255951,0.009425805725790957,4.262703608359558e-06
0.9000000000000001,0.6507798259052977,0.6502743063255951,0.011620319821386461,0.00018796752242758973
0.9500000000000001,0.6516577413833554,0.6502743063255951,0.012294303410875982,0.0015628168856261903
1.0,0.6509482975708993,0.6502743063255951,0.014608876890342246,0.0008989004472724355
