Epsilon,Robust Cost,Nominal Cost,Rho (Expected),Rho (True)
0.05,1.0832368621198876,0.8122471374779977,1.0483585341034458,1.3913271827231342
0.1,0.9319079594589313,0.8122471374779977,0.2670000468725632,0.03328882550297161
0.15000000000000002,0.8853311985107813,0.8122471374779977,0.22738702634166405,0.008228982027958662
0.2,0.8479871703509573,0.8122471374779977,0.16749734393710086,0.015217967925661881
0.25,0.8205256610133601,0.8122471374779977,0.07548357060094493,0.0020050700709988026
0.3,0.8252880360299166,0.8122471374779977,0.09852150964008975,0.0062728484298394
0.35000000000000003,0.8212936648225985,0.8122471374779977,0.10354099840506781,0.006068598569321328
0.4,0.8135310784916674,0.8122471374779977,0.021888473987367627,0.0009547562201079659
0.45,0.8159829451740186,0.8122471374779977,0.050587022668854946,0.005678141340080748
0.5,0.8162356454545175,0.8122471374779977,0.043502421791429165,0.0003156029819938026
0.55,0.8144955487840279,0.8122471374779977,0.032162677314570225,0.0021669154248989634
0.6000000000000001,0.8150526236844197,0.8122471374779977,0.05027053724864293,0.010371968600988631
0.6500000000000001,0.814387901059326,0.8122471374779977,0.01607033193519525,0.007847029573312299
0.7000000000000001,0.8142556634778165,0.8122471374779977,0.02120904605838456,0.0021860879685865974
0.7500000000000001,0.81438904966339,0.8122471374779977,0.022271750479952668,4.0145925316988575e-05
0.8,0.8142268234092126,0.8122471374779977,0.02510464979788208,0.010806107936521415
0.8500000000000001,0.8152221846877347,0.8122471374779977,0.030082993544683335,0.015013223055781275
0.9000000000000001,0.8124111835602799,0.8122471374779977,0.014341175028707557,0.008064564200227126
0.9500000000000001,0.8123945627346609,0.8122471374779977,0.004438626992173912,0.0005779691686713891
1.0,0.813544868110537,0.8122471374779977,0.01808096656621736,6.190495080450934e-05
