Epsilon,Robust Cost,Nominal Cost,Rho (Expected),Rho (True)
0.05,0.8726218870940593,0.7355280697164721,1.3472858734515432,0.8419449277034781
0.1,0.7365982316072613,0.7355280697164721,0.6994817735457768,0.47942901546769506
0.15000000000000002,0.8726218870940593,0.7355280697164721,0.6348623707043567,0.08090832684800994
0.2,0.7395435236272552,0.7355280697164721,0.06925727119043347,0.005342817247916349
0.25,0.8471548716237016,0.7355280697164721,0.535384830591847,0.035329940045106575
0.3,0.7378083654045662,0.7355280697164721,0.06625775634241868,0.010244321992383218
0.35000000000000003,0.7382656165098965,0.7355280697164721,0.016130418761513048,0.01109877276128219
0.4,0.7366033806130668,0.7355280697164721,0.026358624299273797,9.127249565164504e-05
0.45,0.7369305045232097,0.7355280697164721,0.022909494664365815,0.00029271352812926645
0.5,0.7496687499808619,0.7355280697164721,0.026275676017081535,0.05730416642126801
0.55,0.7367807261089697,0.7355280697164721,0.009968377520851213,0.0017516222671574233
0.6000000000000001,0.7359221307756336,0.7355280697164721,0.004620038718388951,0.010786830448932
0.6500000000000001,0.7358864647073317,0.7355280697164721,0.015393779516035343,0.0013528773610377918
0.7000000000000001,0.7360067514744856,0.7355280697164721,0.01193556994317456,0.000239570407632431
0.7500000000000001,0.7355420304686834,0.7355280697164721,0.004116499173155848,0.0022700324107054505
0.8,0.7356517934407526,0.7355280697164721,0.004269408766217824,0.0002766772166454736
0.8500000000000001,0.736215206214903,0.7355280697164721,0.009311187492773834,0.0004708131350147655
0.9000000000000001,0.7357353721338189,0.7355280697164721,0.007185059156766986,0.0013655085461975573
0.9500000000000001,0.73569152454302,0.7355280697164721,0.001813342125380906,0.0009809765008379292
1.0,0.7355926724996396,0.7355280697164721,0.004530850122235114,0.00040678146114856394
