Epsilon,Robust Cost,Nominal Cost,Rho,KL Distance
0.05,0.662006912068231,0.580258756540783,2.4790698743965285,0.32185563699683617
0.1,0.6026217483151609,0.580258756540783,0.16617451883770037,0.08847209669251059
0.15000000000000002,0.594955081076336,0.580258756540783,0.10899650453724187,0.04370155836625349
0.2,0.6221035636983622,0.580258756540783,0.30961266965170836,0.042469888129685295
0.25,0.5867928233446998,0.580258756540783,0.048105766402526506,0.014739606224567312
0.3,0.5919962507432434,0.580258756540783,0.08412097385004505,0.009198392366774591
0.35000000000000003,0.5908963415536083,0.580258756540783,0.08451336656522476,0.018924667805376806
0.4,0.5914171853795601,0.580258756540783,0.07947860857657552,0.01729642497243903
0.45,0.5849435645602182,0.580258756540783,0.033116004833809755,0.005639170398993236
0.5,0.5840757558110959,0.580258756540783,0.02252877540116153,0.0007527247937625802
0.55,0.5834612873798408,0.580258756540783,0.018248478715508224,0.0008901830565745175
0.6000000000000001,0.5870663230594678,0.580258756540783,0.043557528611725384,0.0061382269753822525
0.6500000000000001,0.5844751447355183,0.580258756540783,0.03125177123557503,0.008707712233276692
0.7000000000000001,0.5827405354276818,0.580258756540783,0.018235440893769137,0.002683469603984777
0.7500000000000001,0.5834980316947488,0.580258756540783,0.020931491726145265,0.002392123894482414
0.8,0.5814469546332229,0.580258756540783,0.007849735505276411,0.0009822469771234715
0.8500000000000001,0.5819639040485393,0.580258756540783,0.013908988661878657,0.003072866426003134
0.9000000000000001,0.5828968667535371,0.580258756540783,0.014041995542136518,0.00384478174489003
0.9500000000000001,0.5823490918372978,0.580258756540783,0.013409464541695776,0.0011142991116126957
1.0,0.5834301561357731,0.580258756540783,0.01790458362521509,0.0032098221882187463
