Epsilon,Robust Cost,Nominal Cost,Rho,KL Distance
0.05,0.9218928210026243,0.9218928210026244,1.1018923008471975,0.0813340122937
0.1,0.9218928210026243,0.9218928210026244,0.3926475106718195,0.05933849829534791
0.15000000000000002,0.9218928210026243,0.9218928210026244,0.948192928802046,0.06663482071805964
0.2,0.9218928210026243,0.9218928210026244,0.20661197244737614,0.021286466817524493
0.25,0.9218928210026243,0.9218928210026244,0.08632054893766523,0.007533376819675201
0.3,0.9218928210026244,0.9218928210026244,0.04988224867445182,0.012823656012718893
0.35000000000000003,0.9218928210026244,0.9218928210026244,0.04985654354691003,0.010851514498475393
0.4,0.9218928210026244,0.9218928210026244,0.03619671888935042,0.004584237101892723
0.45,0.9218928210026244,0.9218928210026244,0.06962352146159005,0.010950899932429738
0.5,0.9218928111050504,0.9218928210026244,0.04243907718436446,0.0068607888490387885
0.55,0.9218928210026244,0.9218928210026244,0.050621351631154,0.011157768645069862
0.6000000000000001,0.9218928210026244,0.9218928210026244,0.02987043098537483,0.00312565242957387
0.6500000000000001,0.9218928210026244,0.9218928210026244,0.007087611908593396,0.0007461355976365117
0.7000000000000001,0.9218928210026244,0.9218928210026244,0.010602780137303158,0.0021324149452112418
0.7500000000000001,0.9218928210026244,0.9218928210026244,0.005878686750026889,0.00036183728456290996
0.8,0.9218928210026244,0.9218928210026244,0.044374611833562456,0.00170830838141063
0.8500000000000001,0.9218927429078722,0.9218928210026244,0.00595987629811727,0.0007934445993088592
0.9000000000000001,0.921892809239882,0.9218928210026244,0.004892232225339932,0.0005457160795292913
0.9500000000000001,0.9218928210026244,0.9218928210026244,0.014213352342810784,0.0010477589509669191
1.0,0.9218928210026244,0.9218928210026244,0.011638731272478098,0.0020866868060096444
