Epsilon,Robust Cost,Nominal Cost,Rho,KL Distance
0.05,0.8726218870940593,0.7355280697164721,0.9798032879715974,0.019581116985807386
0.1,0.8352188668027488,0.7355280697164721,0.6714467438117676,0.009071109716534312
0.15000000000000002,0.8049523814215819,0.7355280697164721,0.5150387009801592,0.001383203138057695
0.2,0.7404974880998262,0.7355280697164721,0.07735743363773298,0.0005655298027179706
0.25,0.7398363963691615,0.7355280697164721,0.06674438144875068,0.0006832722106156555
0.3,0.7403008317102664,0.7355280697164721,0.0655740356887555,0.003367505404387891
0.35000000000000003,0.7380041789367766,0.7355280697164721,0.036509904363279014,0.00043204796689591193
0.4,0.7361914785494341,0.7355280697164721,0.01658394775247799,0.00013022404908677996
0.45,0.7363823482906378,0.7355280697164721,0.021619374196402842,0.000486171674191232
0.5,0.7362627837995617,0.7355280697164721,0.019050906106283336,0.0002659029604041036
0.55,0.7366241290674751,0.7355280697164721,0.022705166125923,0.0016477903095604646
0.6000000000000001,0.7358783373696058,0.7355280697164721,0.009611980472503077,0.0001290932266382796
0.6500000000000001,0.7359982830285936,0.7355280697164721,0.00957151436057669,6.597577805403203e-05
0.7000000000000001,0.7357104802366046,0.7355280697164721,0.00687018952268682,1.0081352393976413e-05
0.7500000000000001,0.7358291333337609,0.7355280697164721,0.007282829261376328,3.357713143208908e-05
0.8,0.7359217380015609,0.7355280697164721,0.007610045382569475,0.00014908769184740793
0.8500000000000001,0.7356703393918261,0.7355280697164721,0.0035995071191922863,0.0002223686404012118
0.9000000000000001,0.7357226426270188,0.7355280697164721,0.004976576371658131,0.0004951592211385005
0.9500000000000001,0.7356097939040677,0.7355280697164721,0.002360683562858165,9.909588205176144e-05
1.0,0.7358034026938148,0.7355280697164721,0.007836558791492396,0.00020377058359170676
