Epsilon,Robust Cost,Nominal Cost,Rho,KL Distance
0.05,0.2457600281688147,0.14175908537156465,0.6614551972733556,0.3644096698911106
0.1,0.1938886682539372,0.14175908537156465,0.3286186242935496,0.1228113645462885
0.15000000000000002,0.190395026516162,0.14175908537156465,0.22958254441904993,0.16703516916285982
0.2,0.15553405960414546,0.14175908537156465,0.04616510706843409,0.01769024326910603
0.25,0.16021542764623142,0.14175908537156465,0.062153206780216116,0.01683220971722267
0.3,0.1422108312732591,0.14175908537156465,0.0379619671501706,0.014766081910805626
0.35000000000000003,0.1738953076420089,0.14175908537156465,0.1303465359058726,0.022475324501014825
0.4,0.15332866528453898,0.14175908537156465,0.04038424371150316,0.011423690545891318
0.45,0.16243913130132634,0.14175908537156465,0.07944735657147506,0.009172981732572638
0.5,0.15312589763736895,0.14175908537156465,0.03710995964666043,0.015001082276093342
0.55,0.1626844925160948,0.14175908537156465,0.07899429064024585,0.011872757464748869
0.6000000000000001,0.15439200456639385,0.14175908537156465,0.0424053151915406,0.013515546976772548
0.6500000000000001,0.15355122963580084,0.14175908537156465,0.03706695618278208,0.006252811724368389
0.7000000000000001,0.15181857606829252,0.14175908537156465,0.03332329331201017,0.008407630136305813
0.7500000000000001,0.1428473934646686,0.14175908537156465,0.018498896229008945,0.0048277516284076505
0.8,0.14938886310554955,0.14175908537156465,0.022156291159589413,0.001842697186823835
0.8500000000000001,0.1472943321084023,0.14175908537156465,0.015373039826018058,0.002400315593644512
0.9000000000000001,0.14892349083090425,0.14175908537156465,0.02027919987674885,0.0021690808171000754
0.9500000000000001,0.14875473406856587,0.14175908537156465,0.021319417503553966,0.0029942656738631158
1.0,0.15231493385531697,0.14175908537156465,0.03236751433718475,0.002583044676279577
