Epsilon,Robust Cost,Nominal Cost,Rho Multiplier,Rho (Expected),Rho (True),Workload (Perturbed),Workload (True)
0.05,0.8815835978957246,0.8122468256289966,0.25,1.5753370964181506,0.14112750907278265,"Workload(z0=0.46851506325509207, z1=0.13171720034109669, q=0.35327719440625444, w=0.046490541997556895)","Workload(z0=0.49, z1=0.01, q=0.49, w=0.01)"
0.05,1.0832368621198876,0.8122468256289966,0.5,1.5753370964181506,0.14112750907278265,"Workload(z0=0.46851506325509207, z1=0.13171720034109669, q=0.35327719440625444, w=0.046490541997556895)","Workload(z0=0.49, z1=0.01, q=0.49, w=0.01)"
0.05,1.0832368621198876,0.8122468256289966,0.75,1.5753370964181506,0.14112750907278265,"Workload(z0=0.46851506325509207, z1=0.13171720034109669, q=0.35327719440625444, w=0.046490541997556895)","Workload(z0=0.49, z1=0.01, q=0.49, w=0.01)"
0.05,1.0832368621198876,0.8122468256289966,1.0,1.5753370964181506,0.14112750907278265,"Workload(z0=0.46851506325509207, z1=0.13171720034109669, q=0.35327719440625444, w=0.046490541997556895)","Workload(z0=0.49, z1=0.01, q=0.49, w=0.01)"
0.05,1.0832368621198876,0.8122468256289966,1.25,1.5753370964181506,0.14112750907278265,"Workload(z0=0.46851506325509207, z1=0.13171720034109669, q=0.35327719440625444, w=0.046490541997556895)","Workload(z0=0.49, z1=0.01, q=0.49, w=0.01)"
0.05,1.0832368621198865,0.8122468256289966,1.5,1.5753370964181506,0.14112750907278265,"Workload(z0=0.46851506325509207, z1=0.13171720034109669, q=0.35327719440625444, w=0.046490541997556895)","Workload(z0=0.49, z1=0.01, q=0.49, w=0.01)"
0.05,1.083236862119887,0.8122468256289966,1.75,1.5753370964181506,0.14112750907278265,"Workload(z0=0.46851506325509207, z1=0.13171720034109669, q=0.35327719440625444, w=0.046490541997556895)","Workload(z0=0.49, z1=0.01, q=0.49, w=0.01)"
0.1,0.8161921762841401,0.8122468257687826,0.25,0.20471606144244342,0.0005230623148333217,"Workload(z0=0.5052771783173043, z1=0.01043041640604119, q=0.4738619888706132, w=0.01043041640604119)","Workload(z0=0.49, z1=0.01, q=0.49, w=0.01)"
0.1,0.8229974937983187,0.8122468257687826,0.5,0.20471606144244342,0.0005230623148333217,"Workload(z0=0.5052771783173043, z1=0.01043041640604119, q=0.4738619888706132, w=0.01043041640604119)","Workload(z0=0.49, z1=0.01, q=0.49, w=0.01)"
0.1,0.8312112208394283,0.8122468257687826,0.75,0.20471606144244342,0.0005230623148333217,"Workload(z0=0.5052771783173043, z1=0.01043041640604119, q=0.4738619888706132, w=0.01043041640604119)","Workload(z0=0.49, z1=0.01, q=0.49, w=0.01)"
0.1,0.8415679723672506,0.8122468257687826,1.0,0.20471606144244342,0.0005230623148333217,"Workload(z0=0.5052771783173043, z1=0.01043041640604119, q=0.4738619888706132, w=0.01043041640604119)","Workload(z0=0.49, z1=0.01, q=0.49, w=0.01)"
0.1,0.8547698590672037,0.8122468257687826,1.25,0.20471606144244342,0.0005230623148333217,"Workload(z0=0.5052771783173043, z1=0.01043041640604119, q=0.4738619888706132, w=0.01043041640604119)","Workload(z0=0.49, z1=0.01, q=0.49, w=0.01)"
0.1,0.8718310167906141,0.8122468257687826,1.5,0.20471606144244342,0.0005230623148333217,"Workload(z0=0.5052771783173043, z1=0.01043041640604119, q=0.4738619888706132, w=0.01043041640604119)","Workload(z0=0.49, z1=0.01, q=0.49, w=0.01)"
0.1,0.8943611993551451,0.8122468257687826,1.75,0.20471606144244342,0.0005230623148333217,"Workload(z0=0.5052771783173043, z1=0.01043041640604119, q=0.4738619888706132, w=0.01043041640604119)","Workload(z0=0.49, z1=0.01, q=0.49, w=0.01)"
0.15000000000000002,0.8423707012222125,0.8122468257287304,0.25,0.9096186588952763,0.001750768943579846,"Workload(z0=0.5180594569824442, z1=0.010727572284817473, q=0.4604853984479209, w=0.010727572284817473)","Workload(z0=0.49, z1=0.01, q=0.49, w=0.01)"
0.15000000000000002,0.9343963452154191,0.8122468257287304,0.5,0.9096186588952763,0.001750768943579846,"Workload(z0=0.5180594569824442, z1=0.010727572284817473, q=0.4604853984479209, w=0.010727572284817473)","Workload(z0=0.49, z1=0.01, q=0.49, w=0.01)"
0.15000000000000002,1.0832368621198873,0.8122468257287304,0.75,0.9096186588952763,0.001750768943579846,"Workload(z0=0.5180594569824442, z1=0.010727572284817473, q=0.4604853984479209, w=0.010727572284817473)","Workload(z0=0.49, z1=0.01, q=0.49, w=0.01)"
