Epsilon,Robust Cost,Nominal Cost,Rho Multiplier,Rho (Expected),Rho (True),Workload (Perturbed),Workload (True)
0.05,0.661420517966099,0.6502742846969081,0.25,1.1534870872016465,0.021040081585916012,"Workload(z0=0.42237788912137864, z1=0.00802735882708726, q=0.2574289539480313, w=0.31216579810350287)","Workload(z0=0.33, z1=0.01, q=0.33, w=0.33)"
0.05,0.6886969178567305,0.6502742846969081,0.5,1.1534870872016465,0.021040081585916012,"Workload(z0=0.42237788912137864, z1=0.00802735882708726, q=0.2574289539480313, w=0.31216579810350287)","Workload(z0=0.33, z1=0.01, q=0.33, w=0.33)"
0.05,0.7386423402248717,0.6502742846969081,0.75,1.1534870872016465,0.021040081585916012,"Workload(z0=0.42237788912137864, z1=0.00802735882708726, q=0.2574289539480313, w=0.31216579810350287)","Workload(z0=0.33, z1=0.01, q=0.33, w=0.33)"
0.05,0.8246818669278984,0.6502742846969081,1.0,1.1534870872016465,0.021040081585916012,"Workload(z0=0.42237788912137864, z1=0.00802735882708726, q=0.2574289539480313, w=0.31216579810350287)","Workload(z0=0.33, z1=0.01, q=0.33, w=0.33)"
0.05,0.8246818669278984,0.6502742846969081,1.25,1.1534870872016465,0.021040081585916012,"Workload(z0=0.42237788912137864, z1=0.00802735882708726, q=0.2574289539480313, w=0.31216579810350287)","Workload(z0=0.33, z1=0.01, q=0.33, w=0.33)"
0.05,0.8246818669278982,0.6502742846969081,1.5,1.1534870872016465,0.021040081585916012,"Workload(z0=0.42237788912137864, z1=0.00802735882708726, q=0.2574289539480313, w=0.31216579810350287)","Workload(z0=0.33, z1=0.01, q=0.33, w=0.33)"
0.05,0.8246818669278984,0.6502742846969081,1.75,1.1534870872016465,0.021040081585916012,"Workload(z0=0.42237788912137864, z1=0.00802735882708726, q=0.2574289539480313, w=0.31216579810350287)","Workload(z0=0.33, z1=0.01, q=0.33, w=0.33)"
0.1,0.7203297266205183,0.6502742846492483,0.25,0.7431630403471507,0.17382076899234788,"Workload(z0=0.12099739961866628, z1=0.036273972474222094, q=0.3271721887529202, w=0.5155564391541915)","Workload(z0=0.33, z1=0.01, q=0.33, w=0.33)"
0.1,0.759212238142768,0.6502742846492483,0.5,0.7431630403471507,0.17382076899234788,"Workload(z0=0.12099739961866628, z1=0.036273972474222094, q=0.3271721887529202, w=0.5155564391541915)","Workload(z0=0.33, z1=0.01, q=0.33, w=0.33)"
0.1,0.7977832115003564,0.6502742846492483,0.75,0.7431630403471507,0.17382076899234788,"Workload(z0=0.12099739961866628, z1=0.036273972474222094, q=0.3271721887529202, w=0.5155564391541915)","Workload(z0=0.33, z1=0.01, q=0.33, w=0.33)"
0.1,0.8246818669278982,0.6502742846492483,1.0,0.7431630403471507,0.17382076899234788,"Workload(z0=0.12099739961866628, z1=0.036273972474222094, q=0.3271721887529202, w=0.5155564391541915)","Workload(z0=0.33, z1=0.01, q=0.33, w=0.33)"
