Epsilon,Robust Cost,Nominal Cost,Rho (Expected),Rho Multiplier,Rho (True)
0.05,1.2290532932319764,1.229043816633654,1.6596608649735836,0.25,0.00014076464975232154
0.05,1.2290532932319764,1.229043816633654,2.2188096089329306,0.5,0.2172213766902403
0.05,1.2290532932319764,1.229043816633654,1.6366585860695313,0.75,0.013685213342132237
0.05,1.2290532932319764,1.229043816633654,0.8386419300303251,1.0,0.15583335233948095
0.05,1.2290532932319764,1.229043816633654,1.4836754516620827,1.25,0.39513927438529595
0.05,1.2290532932319764,1.229043816633654,0.263204342550495,1.5,0.03435075101167151
0.05,1.2290532932319764,1.229043816633654,1.0640135959624832,1.75,0.04754031705949713
0.1,1.2290532932319764,1.229043816633654,0.299165938838995,0.25,0.3607765362535371
0.1,1.2290532932319764,1.229043816633654,0.5551640536190883,0.5,0.04802848442551821
0.1,1.2290532932319764,1.229043816633654,0.2861227340055812,0.75,0.15305016551772183
0.1,1.2290532932319764,1.229043816633654,0.2607234849510187,1.0,0.25510021024116625
0.1,1.2290532932319764,1.229043816633654,0.22757624686981182,1.25,0.03306406064799493
0.1,1.2290532932319764,1.229043816633654,0.8777312180202868,1.5,0.34629296095653944
0.1,1.2290532932319764,1.229043816633654,0.16070668319006118,1.75,0.10468593439548779
0.15000000000000002,1.2290443979219303,1.229043816633654,0.19211589371730273,0.25,0.005037906899013095
0.15000000000000002,1.2290532932319764,1.229043816633654,0.2028316492654704,0.5,0.014826059603325285
0.15000000000000002,1.2290532932319764,1.229043816633654,0.19568440034904985,0.75,0.02617516979810463
0.15000000000000002,1.2297114483827931,1.229043816633654,0.10241736854379128,1.0,0.08056132308458168
0.15000000000000002,1.2290532932319764,1.229043816633654,0.2087084256709385,1.25,0.07424570289772457
0.15000000000000002,1.2290532932319764,1.229043816633654,0.28752437034311423,1.5,0.03839881230452126
0.15000000000000002,1.2290532932319764,1.229043816633654,0.15562082095635243,1.75,0.04176487330684414
0.2,1.2290532932319764,1.229043816633654,0.11929737552983545,0.25,0.0036080448949793666
0.2,1.2290532932319764,1.229043816633654,0.1138232430114464,0.5,0.008028810834514276
0.2,1.2290532932319764,1.229043816633654,0.09955367350868916,0.75,0.029376967956113522
0.2,1.2291554041504182,1.229043816633654,0.05859242273474419,1.0,0.033532584774613024
0.2,1.2290532932319764,1.229043816633654,0.14170443850523118,1.25,0.0007259471989953894
0.2,1.2290532932319764,1.229043816633654,0.16626073428755173,1.5,0.0005548795002671661
0.2,1.2290532932319764,1.229043816633654,0.09975744577084086,1.75,0.009264984198745212
0.25,1.2290532932319764,1.229043816633654,0.0969371272585477,0.25,0.004565099137277489
0.25,1.2290532932319764,1.229043816633654,0.09255092872683406,0.5,2.702195242938312e-05
0.25,1.229045314964654,1.229043816633654,0.08486367459925383,0.75,0.054729797412516226
0.25,1.2290532932319764,1.229043816633654,0.12442969963170984,1.0,0.009147427252452019
0.25,1.2290532932319764,1.229043816633654,0.20576994651995348,1.25,0.0005788880239147795
0.25,1.2290532932319764,1.229043816633654,0.0485756747859796,1.5,0.012452881497790865
0.25,1.2290532932319764,1.229043816633654,0.10097701783068744,1.75,0.02824530300783778
0.3,1.2290532932319764,1.229043816633654,0.09000334463851935,0.25,0.0012051663836642739
0.3,1.230198106936388,1.229043816633654,0.07287337384925956,0.5,0.04583287224107107
0.3,1.2290532932319764,1.229043816633654,0.17991227882636515,0.75,0.03600618870879966
0.3,1.2290532932319764,1.229043816633654,0.08363100317831476,1.0,0.019913116175976867
0.3,1.2290532932319764,1.229043816633654,0.08151551940884016,1.25,0.015687393652626603
0.3,1.2290532932319764,1.229043816633654,0.03203699405332242,1.5,0.005874876729473757
0.3,1.2290532932319764,1.229043816633654,0.0624214834501301,1.75,0.027833776622502394
0.35000000000000003,1.2290532932319764,1.229043816633654,0.13408319039672642,0.25,0.0021318491884094837
0.35000000000000003,1.2290532932319764,1.229043816633654,0.04227035299045212,0.5,0.005441192987154497
0.35000000000000003,1.2290532932319764,1.229043816633654,0.1667705173554142,0.75,0.01104043751004022
0.35000000000000003,1.2290532932319764,1.229043816633654,0.08269709836064557,1.0,0.016074065658696242
0.35000000000000003,1.2290532932319764,1.229043816633654,0.035124804245748244,1.25,0.0006635076687553933
0.35000000000000003,1.2290532932319767,1.229043816633654,0.037248394717423694,1.5,0.039717212651149136
0.35000000000000003,1.2290532932319764,1.229043816633654,0.04793727414678001,1.75,0.0010860447087579434
0.4,1.2290532932319764,1.229043816633654,0.07932809724645981,0.25,3.4630301071585074e-05
0.4,1.2290532932319764,1.229043816633654,0.050334410724553566,0.5,0.002310453243814331
0.4,1.2290532932319764,1.229043816633654,0.03695098370658938,0.75,5.50121283728954e-05
0.4,1.2290532932319764,1.229043816633654,0.05895692381702196,1.0,0.003727319665547026
0.4,1.2290532932319764,1.229043816633654,0.04662300692118579,1.25,0.0037719846365854267
0.4,1.2290532932319764,1.229043816633654,0.05040045937612065,1.5,0.0022475426839321236
0.4,1.229480919034344,1.229043816633654,0.02915354535545842,1.75,0.03490660041129517
0.45,1.231212562570971,1.229043816633654,0.05593373246271198,0.25,0.013707903342142948
0.45,1.229052771989237,1.229043816633654,0.017870729083164505,0.5,0.06436452831762066
0.45,1.2290532932319764,1.229043816633654,0.16004506810770402,0.75,0.007618322842056277
0.45,1.2290532932319764,1.229043816633654,0.0751720927966498,1.0,3.997302502176814e-06
0.45,1.2290532932319764,1.229043816633654,0.06598388038042029,1.25,0.010148922564313314
0.45,1.229377487402383,1.229043816633654,0.02677240789171881,1.5,0.03753611915726598
0.45,1.2290532932319764,1.229043816633654,0.04300960513238123,1.75,0.013773571543510213
0.5,1.2290532932319764,1.229043816633654,0.02177765535510618,0.25,2.805273712045103e-05
0.5,1.2290532932319764,1.229043816633654,0.0347114488302505,0.5,0.0013827315253493269
0.5,1.2290439336526728,1.229043816633654,0.06193689848626627,0.75,0.0025855487413654265
0.5,1.2290532932319764,1.229043816633654,0.10356896113390118,1.0,0.000459157680852397
0.5,1.2290532932319764,1.229043816633654,0.026432010751689015,1.25,0.007845154170826305
0.5,1.2290532932319769,1.229043816633654,0.050980285002764664,1.5,0.0008720013537937387
0.5,1.2290532932319764,1.229043816633654,0.036564588412229086,1.75,7.484766760254026e-05
0.55,1.2290766546297116,1.229043816633654,0.06062761591984351,0.25,0.006387906415703469
0.55,1.2335802618037393,1.229043816633654,0.05360108664407174,0.5,0.06544438453259305
0.55,1.2290532932319764,1.229043816633654,0.042293943974801976,0.75,0.014030053104508661
0.55,1.2290532932319764,1.229043816633654,0.12673528339789117,1.0,0.00022892961753948255
0.55,1.2298113664998225,1.229043816633654,0.034456654353033994,1.25,0.03505161601874414
0.55,1.2290532932319764,1.229043816633654,0.010411057181745167,1.5,0.0010154550596789824
0.55,1.2290532932319764,1.229043816633654,0.03560877438969009,1.75,0.04492357753046831
0.6000000000000001,1.229080615286904,1.229043816633654,0.017973614610138466,0.25,0.01478401673497137
0.6000000000000001,1.229241986944726,1.229043816633654,0.05056650341152883,0.5,0.005962792345348775
0.6000000000000001,1.2290532932319764,1.229043816633654,0.027519140008389502,0.75,0.0010153761362369845
0.6000000000000001,1.2290532932319764,1.229043816633654,0.03911663363920951,1.0,0.010201462599177084
0.6000000000000001,1.2290532932319764,1.229043816633654,0.035928556452760156,1.25,0.0001230044913124791
0.6000000000000001,1.2290532932319764,1.229043816633654,0.045045450648882074,1.5,0.00031847444431720186
0.6000000000000001,1.2290532932319764,1.229043816633654,0.009968598934485503,1.75,0.001059809166201186
0.6500000000000001,1.2301147651926712,1.229043816633654,0.034486568080312655,0.25,0.015025937297727027
0.6500000000000001,1.2290532932319764,1.229043816633654,0.025563000014120846,0.5,0.007008725006577184
0.6500000000000001,1.2290532932319764,1.229043816633654,0.03663192933470266,0.75,0.0007266844066903331
0.6500000000000001,1.2296569651143074,1.229043816633654,0.0440339310249855,1.0,0.0036913155504514055
0.6500000000000001,1.229052899459743,1.229043816633654,0.03920746258582355,1.25,0.00011980353389617437
0.6500000000000001,1.2290848413144126,1.229043816633654,0.047943221945480535,1.5,0.03530918148487666
0.6500000000000001,1.2290532932319764,1.229043816633654,0.033876313028288946,1.75,0.007164661851690362
0.7000000000000001,1.2290515962312871,1.229043816633654,0.027892996900417383,0.25,0.0035247520401110203
0.7000000000000001,1.2290532932319764,1.229043816633654,0.009783752036232173,0.5,0.0013202439930987738
0.7000000000000001,1.2290532932319764,1.229043816633654,0.009316110498540389,0.75,0.0009776369355757942
0.7000000000000001,1.2290532932319764,1.229043816633654,0.041440962647703916,1.0,0.009602028869761723
0.7000000000000001,1.2290532932319764,1.229043816633654,0.02884282098557763,1.25,0.001168589794350654
0.7000000000000001,1.2290532932319764,1.229043816633654,0.01180804432339252,1.5,0.00013419265770239503
0.7000000000000001,1.2290532932319764,1.229043816633654,0.022093551451792343,1.75,0.005995699686886288
0.7500000000000001,1.23051337404416,1.229043816633654,0.019664541048772095,0.25,0.005322677011969459
0.7500000000000001,1.2290532932319764,1.229043816633654,0.024255726760133045,0.5,0.008064548224895995
0.7500000000000001,1.2290532932319764,1.229043816633654,0.008891863792198557,0.75,3.925245461112794e-06
0.7500000000000001,1.2290532932319764,1.229043816633654,0.024071797637020824,1.0,0.0026665430782080715
0.7500000000000001,1.2290532932319764,1.229043816633654,0.012245711611181058,1.25,0.013239130614603663
0.7500000000000001,1.2290532932319764,1.229043816633654,0.032390144159672264,1.5,0.0022529664802484906
0.7500000000000001,1.2290532932319764,1.229043816633654,0.03298598798246527,1.75,0.0025504641500499275
0.8,1.229100752078278,1.229043816633654,0.02041897131106802,0.25,0.0013080287095447944
0.8,1.2290532932319764,1.229043816633654,0.021999079127752817,0.5,0.00031000252246723894
0.8,1.2290632162713224,1.229043816633654,0.017917173044270297,0.75,0.005507608043277821
